,BeanOrigin,Rating,CocoaPercent,BeanType,Australia,Belize,Bolivia,Brazil,Cameroon,Colombia,Congo,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Fiji,Gabon,Ghana,Grenada,Guatemala,Haiti,Honduras,India,Indonesia,Jamaica,Liberia,Madagascar,Malaysia,Martinique,Mexico,Nicaragua,Nigeria,Panama,Papua New Guinea,Peru,Philippines,Puerto Rico,Samoa,Sao Tome,Sao Tome & Principe,Solomon Islands,Sri Lanka,Suriname,Tanzania,Tobago,Togo,Trinidad,Uganda,Vanuatu,Venezuela,Vietnam
14,Colombia,2.75,70%,U,0.49,0.7,0.7,0.7,0.49,1,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
16,Papua New Guinea,3.25,70%,U,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,1,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7
17,Venezuela,4,70%,Trinitario,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,1,0.49
18,Peru,3.25,70%,U,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,1,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
19,Peru,3.5,70%,U,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,1,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
20,Peru,4,63%,U,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,1,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
21,Bolivia,3.5,70%,U,0.49,0.7,1,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
22,Peru,3.75,63%,U,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,1,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
23,Peru,3.75,70%,U,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,1,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
24,Peru,3.75,70%,Criollo,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,1,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
25,Fiji,2.75,60%,Trinitario,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,1,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7
26,Fiji,3.25,80%,Trinitario,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,1,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7
27,Fiji,3.5,88%,Trinitario,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,1,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7
28,Fiji,3.5,72%,Trinitario,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,1,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7
29,Ecuador,2.75,55%,Forastero (Arriba),0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,1,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
30,Ecuador,3,70%,Forastero (Arriba),0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,1,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
31,Mexico,3,70%,Criollo,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,1,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
32,Indonesia,3.75,75%,Trinitario,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,1,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7
33,Madagascar,2.75,75%,Criollo,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.7,1,0.49,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49
34,Brazil,2.75,75%,Forastero,0.49,0.7,0.7,1,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
35,Trinidad,2.75,65%,Trinitario,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,1,0.49,0.49,0.7,0.49
36,Vietnam,2.75,75%,Trinitario,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.49,1
37,Madagascar,3,75%,Trinitario,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.7,1,0.49,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49
38,Venezuela,2.5,75%,Trinitario,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,1,0.49
39,Peru,2.5,75%,U,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,1,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
40,Ecuador,3.5,70%,Forastero (Nacional),0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,1,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
41,Nicaragua,3.5,70%,"Criollo, Trinitario",0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,1,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
42,Vietnam,3.5,70%,Trinitario,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.49,1
43,Tanzania,3.5,70%,Forastero,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,1,0.49,0.7,0.49,0.7,0.49,0.49,0.49
44,Nicaragua,2.75,60%,U,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,1,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
45,Peru,3,60%,U,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,1,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
46,Bolivia,2.5,60%,U,0.49,0.7,1,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
47,Peru,2.5,60%,U,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,1,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
48,Ecuador,2.75,60%,U,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,1,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
49,Venezuela,2.5,60%,U,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,1,0.49
50,Dominican Republic,3,60%,Trinitario,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,1,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
51,Bolivia,3.25,80%,U,0.49,0.7,1,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
52,Bolivia,3,60%,U,0.49,0.7,1,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
53,Peru,3.25,60%,U,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,1,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
54,Papua New Guinea,4,70%,U,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,1,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7
55,Dominican Republic,3.75,70%,U,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,1,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
56,Ecuador,4,70%,U,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,1,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
57,Venezuela,3,70%,Trinitario,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,1,0.49
58,Venezuela,3,70%,U,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,1,0.49
59,Indonesia,2.75,70%,U,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,1,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7
60,Madagascar,3.5,70%,Trinitario,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.7,1,0.49,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49
61,Venezuela,3,70%,U,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,1,0.49
62,Venezuela,3.75,70%,Criollo,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,1,0.49
63,Ghana,3,70%,Forastero,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,1,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49
64,Ecuador,2.75,70%,U,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,1,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
